Simulation Name	Brief Description	Fuller Description	Owner	Model Descriptors	Total Length of Run (in years)	Averaging period (in years)	Spinup period (in years)	Coastline name and code numner	CO2 (in ppmv)	CH4 (in ppbv)	N2O (in ppbv)	CFC11 (in pptv)	CFC12 (in pptv)	Computer used for simulation	Compiler used for simulation	Date of first entry in database	Date of most recent modification to entry in database
texPh2	164_8_MaBP	This is the 164.8 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Call, 424	867.55	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPg1	160_4_MaBP	This is the 160.4 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Oxfo, 423	785.38	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPf1	154_7_MaBP	This is the 154.7 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Kimm, 422	802.03	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPe2	148_6_MaBP	This is the 148.6 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Tith, 421	721.30	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPd2	145_0_MaBP	This is the 145.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Tith, 420	713.01	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPc2	142_4_MaBP	This is the 142.4 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Berr, 419	831.71	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPb2	136_4_MaBP	This is the 136.4 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Vala, 418	1020.29	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPa2	131_2_MaBP	This is the 131.2 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Haut, 417	896.15	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpz1	127_2_MaBP	This is the 127.2 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Barr, 416	897.93	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpy1	121_8_MaBP	This is the 121.8 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Apto, 415	986.19	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpx2	115_8_MaBP	This is the 115.8 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Apti, 414	1102.96	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpw2	111_0_MaBP	This is the 111.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Albi, 413	1148.07	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpv1	107_0_MaBP	This is the 107.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Albi, 412	1028.16	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpu1	102_6_MaBP	This is the 102.6 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Albi, 411	1007.80	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpt2	097_2_MaBP	This is the 97.2 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Ceno, 410	707.39	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texps2	091_9_MaBP	This is the 91.9 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Turo, 409	465.65	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpr2	086_7_MaBP	This is the 86.7 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Sant, 408	590.28	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpq	080_8_MaBP	This is the 80.8 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Camp, 407	667.16	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpp	075_0_MaBP	This is the 75.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Camp, 406	559.27	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpo1	069_0_MaBP	This is the 69.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Maas, 405	261.65	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpn1	066_0_MaBP	This is the 66.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Dani, 404	228.84	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpm1	060_6_MaBP	This is the 60.6 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Sele, 403	334.83	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpl1	055_8_MaBP	This is the 55.8 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Than, 402	570.28	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpk2	052_2_MaBP	This is the 52.2 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Ypre, 401	735.76	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpj2	044_5_MaBP	This is the 44.5 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Lute, 400	751.41	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpi1	039_5_MaBP	This is the 39.5 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Bart, 399	795.57	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texph1	035_9_MaBP	This is the 35.9 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Pria, 398	901.42	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpg1	031_0_MaBP	This is the 31.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Rupe, 397	763.85	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpf	025_6_MaBP	This is the 25.6 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Chat, 396	502.09	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpe	019_5_MaBP	This is the 19.5 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Burd, 395	338.28	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpd	014_9_MaBP	This is the 14.9 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Lang, 394	310.19	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpc	010_5_MaBP	This is the 10.5 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Tort, 393	299.40	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpb	004_0_MaBP	This is the 4.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Zanc, 392	298.33	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texpa1	000_0_MaBP	This is the 0.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Pres, 391	276.01	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
